,national,Success Rate,cough,fever,flu,tamiflu,sore throat
0,Andorra,0.8,Success,Success,Success,Success,Fail
1,United Arab Emirates,0.8,Success,Success,Success,Success,Fail
2,Afghanistan,0.2,Fail,Fail,Success,Fail,Fail
3,Antigua and Barbuda,0.8,Success,Success,Success,Fail,Success
4,Anguilla,0.4,Fail,Success,Success,Fail,Fail
5,Albania,0.6,Fail,Success,Success,Success,Fail
6,Armenia,0.8,Success,Success,Success,Fail,Success
7,Angola,1.0,Success,Success,Success,Success,Success
8,Antarctica,0.0,Fail,Fail,Fail,Fail,Fail
9,Argentina,1.0,Success,Success,Success,Success,Success
10,American Samoa,0.6,Success,Success,Success,Fail,Fail
11,Austria,1.0,Success,Success,Success,Success,Success
12,Australia,1.0,Success,Success,Success,Success,Success
13,Aruba,0.6,Fail,Success,Success,Success,Fail
14,Åland,0.6,Success,Success,Success,Fail,Fail
15,Azerbaijan,1.0,Success,Success,Success,Success,Success
16,Bosnia and Herzegovina,1.0,Success,Success,Success,Success,Success
17,Barbados,1.0,Success,Success,Success,Success,Success
18,Bangladesh,0.8,Success,Success,Success,Fail,Success
19,Belgium,1.0,Success,Success,Success,Success,Success
20,Burkina Faso,0.6,Success,Success,Success,Fail,Fail
21,Bulgaria,1.0,Success,Success,Success,Success,Success
22,Bahrain,0.6,Success,Success,Success,Fail,Fail
23,Burundi,0.6,Success,Success,Success,Fail,Fail
24,Benin,0.6,Success,Success,Success,Fail,Fail
25,Saint Barthélemy,0.4,Success,Fail,Success,Fail,Fail
26,Bermuda,1.0,Success,Success,Success,Success,Success
27,Brunei,1.0,Success,Success,Success,Success,Success
28,Bolivia,1.0,Success,Success,Success,Success,Success
29,Bonaire,0.4,Fail,Success,Success,Fail,Fail
30,Brazil,1.0,Success,Success,Success,Success,Success
31,Bahamas,1.0,Success,Success,Success,Success,Success
32,Bouvet Island,0.0,Fail,Fail,Fail,Fail,Fail
33,Botswana,0.8,Success,Success,Success,Fail,Success
34,Belarus,0.2,Fail,Success,Fail,Fail,Fail
35,Belize,1.0,Success,Success,Success,Success,Success
36,Canada,1.0,Success,Success,Success,Success,Success
37,Cocos [Keeling] Islands,0.0,Fail,Fail,Fail,Fail,Fail
38,Democratic Republic of the Congo,0.6,Success,Success,Success,Fail,Fail
39,Central African Republic,0.2,Fail,Fail,Success,Fail,Fail
40,Republic of the Congo,0.6,Success,Success,Success,Fail,Fail
41,Switzerland,1.0,Success,Success,Success,Success,Success
42,Ivory Coast,0.8,Success,Success,Success,Fail,Success
43,Cook Islands,0.4,Fail,Success,Success,Fail,Fail
44,Chile,1.0,Success,Success,Success,Success,Success
45,Cameroon,0.8,Success,Success,Success,Fail,Success
46,China,0.6,Success,Success,Success,Fail,Fail
47,Colombia,1.0,Success,Success,Success,Success,Success
48,Costa Rica,1.0,Success,Success,Success,Success,Success
49,Cuba,1.0,Success,Success,Success,Success,Success
50,Cape Verde,0.8,Success,Success,Success,Fail,Success
51,Curacao,0.8,Success,Success,Success,Fail,Success
52,Christmas Island,0.0,Fail,Fail,Fail,Fail,Fail
53,Cyprus,0.8,Success,Success,Success,Success,Fail
54,Czech Republic,1.0,Success,Success,Success,Success,Success
55,Germany,1.0,Success,Success,Success,Success,Success
56,Djibouti,0.6,Success,Success,Success,Fail,Fail
57,Denmark,1.0,Success,Success,Success,Success,Success
58,Dominica,0.8,Success,Success,Success,Fail,Success
59,Dominican Republic,1.0,Success,Success,Success,Success,Success
60,Algeria,0.8,Success,Success,Success,Fail,Success
61,Ecuador,1.0,Success,Success,Success,Success,Success
62,Estonia,0.8,Success,Success,Success,Success,Fail
63,Egypt,1.0,Success,Success,Success,Success,Success
64,Western Sahara,0.0,Fail,Fail,Fail,Fail,Fail
65,Spain,1.0,Success,Success,Success,Success,Success
66,Ethiopia,0.6,Success,Success,Success,Fail,Fail
67,Finland,1.0,Success,Success,Success,Success,Success
68,Fiji,0.8,Success,Success,Success,Fail,Success
69,Falkland Islands,0.6,Success,Success,Success,Fail,Fail
70,Micronesia,0.4,Fail,Success,Success,Fail,Fail
71,France,1.0,Success,Success,Success,Success,Success
72,Gabon,0.6,Success,Success,Success,Fail,Fail
73,United Kingdom,1.0,Success,Success,Success,Success,Success
74,Grenada,0.8,Success,Success,Success,Fail,Success
75,Georgia,1.0,Success,Success,Success,Success,Success
76,French Guiana,0.6,Success,Success,Success,Fail,Fail
77,Guernsey,0.8,Success,Success,Success,Fail,Success
78,Ghana,1.0,Success,Success,Success,Success,Success
79,Gibraltar,0.8,Success,Success,Success,Fail,Success
80,Gambia,0.8,Success,Success,Success,Fail,Success
81,Guinea,0.6,Success,Success,Success,Fail,Fail
82,Guadeloupe,0.6,Success,Success,Success,Fail,Fail
83,Equatorial Guinea,0.6,Success,Success,Success,Fail,Fail
